,day,interval,occ
1,Friday,7am-9am,13
2,Thursday,7am-9am,33
3,Wednesday,7am-9am,43
4,Tuesday,7am-9am,45
5,Monday,7am-9am,18
6,Friday,10am-12pm,21
7,Thursday,10am-12pm,55
8,Wednesday,10am-12pm,61
9,Tuesday,10am-12pm,63
10,Monday,10am-12pm,28
11,Friday,12pm-1pm,22
12,Thursday,12pm-1pm,55
13,Wednesday,12pm-1pm,63
14,Tuesday,12pm-1pm,62
15,Monday,12pm-1pm,27
16,Friday,2pm-3pm,20
17,Thursday,2pm-3pm,46
18,Wednesday,2pm-3pm,55
19,Tuesday,2pm-3pm,52
20,Monday,2pm-3pm,23
21,Friday,4pm-6pm,4
22,Thursday,4pm-6pm,11
23,Wednesday,4pm-6pm,10
24,Tuesday,4pm-6pm,10
25,Monday,4pm-6pm,4
