,day,interval,occ
1,Friday,7am-9am,17
2,Thursday,7am-9am,26
3,Wednesday,7am-9am,22
4,Tuesday,7am-9am,28
5,Monday,7am-9am,31
6,Friday,10am-12pm,30
7,Thursday,10am-12pm,53
8,Wednesday,10am-12pm,39
9,Tuesday,10am-12pm,51
10,Monday,10am-12pm,59
11,Friday,12pm-1pm,30
12,Thursday,12pm-1pm,52
13,Wednesday,12pm-1pm,47
14,Tuesday,12pm-1pm,54
15,Monday,12pm-1pm,57
16,Friday,2pm-3pm,27
17,Thursday,2pm-3pm,37
18,Wednesday,2pm-3pm,49
19,Tuesday,2pm-3pm,50
20,Monday,2pm-3pm,51
21,Friday,4pm-6pm,8
22,Thursday,4pm-6pm,9
23,Wednesday,4pm-6pm,12
24,Tuesday,4pm-6pm,12
25,Monday,4pm-6pm,12
