"","day","seat","occ"
"1","Friday","32-105",0
"2","Monday","32-105",44.9
"3","Thursday","32-105",57.8
"4","Tuesday","32-105",33.2
"5","Wednesday","32-105",66.3
"6","Friday","32-106",0
"7","Monday","32-106",46.5
"8","Thursday","32-106",0
"9","Tuesday","32-106",13.9
"10","Wednesday","32-106",43.4
"11","Friday","32-107",0
"12","Monday","32-107",15.5
"13","Thursday","32-107",0
"14","Tuesday","32-107",0
"15","Wednesday","32-107",0
"16","Friday","32-108",0
"17","Monday","32-108",0
"18","Thursday","32-108",4.5
"19","Tuesday","32-108",0
"20","Wednesday","32-108",0
"21","Friday","32-109",0
"22","Monday","32-109",39.4
"23","Thursday","32-109",38.2
"24","Tuesday","32-109",48.3
"25","Wednesday","32-109",23.1
"26","Friday","32-110",7.6
"27","Monday","32-110",31
"28","Thursday","32-110",43.4
"29","Tuesday","32-110",8.8
"30","Wednesday","32-110",45.3
"31","Friday","32-111",0
"32","Monday","32-111",42.1
"33","Thursday","32-111",12.7
"34","Tuesday","32-111",0
"35","Wednesday","32-111",48.3
"36","Friday","32-112",0
"37","Monday","32-112",46.4
"38","Thursday","32-112",37.6
"39","Tuesday","32-112",14.8
"40","Wednesday","32-112",21.5
"41","Friday","32-113",0
"42","Monday","32-113",46.4
"43","Thursday","32-113",15.4
"44","Tuesday","32-113",0
"45","Wednesday","32-113",22.6
"46","Friday","32-114",0.2
"47","Monday","32-114",30.9
"48","Thursday","32-114",0
"49","Tuesday","32-114",0
"50","Wednesday","32-114",41.6
"51","Friday","32-115",0
"52","Monday","32-115",40.7
"53","Thursday","32-115",18.1
"54","Tuesday","32-115",11.3
"55","Wednesday","32-115",17.4
"56","Friday","32-116",10.1
"57","Monday","32-116",10.7
"58","Thursday","32-116",20
"59","Tuesday","32-116",0
"60","Wednesday","32-116",21.3
"61","Friday","32-117",25
"62","Monday","32-117",45.3
"63","Thursday","32-117",46.2
"64","Tuesday","32-117",49.5
"65","Wednesday","32-117",64
"66","Friday","32-20",0
"67","Monday","32-20",2.5
"68","Thursday","32-20",5.9
"69","Tuesday","32-20",10.1
"70","Wednesday","32-20",0
"71","Friday","32-21",17.3
"72","Monday","32-21",5.3
"73","Thursday","32-21",44.3
"74","Tuesday","32-21",34.8
"75","Wednesday","32-21",7.4
"76","Friday","32-22",24.9
"77","Monday","32-22",12.3
"78","Thursday","32-22",61.2
"79","Tuesday","32-22",35.6
"80","Wednesday","32-22",0
"81","Friday","32-23",39.4
"82","Monday","32-23",20.3
"83","Thursday","32-23",61.2
"84","Tuesday","32-23",44.5
"85","Wednesday","32-23",24.2
"86","Friday","32-24",36.2
"87","Monday","32-24",7.1
"88","Thursday","32-24",54.5
"89","Tuesday","32-24",44.2
"90","Wednesday","32-24",7.1
"91","Friday","32-25",18.6
"92","Monday","32-25",9.8
"93","Thursday","32-25",29.9
"94","Tuesday","32-25",11.6
"95","Wednesday","32-25",0
"96","Friday","32-26",29.9
"97","Monday","32-26",20.2
"98","Thursday","32-26",43.9
"99","Tuesday","32-26",33.9
"100","Wednesday","32-26",27.3
"101","Friday","32-27",26.2
"102","Monday","32-27",5.5
"103","Thursday","32-27",13
"104","Tuesday","32-27",0.5
"105","Wednesday","32-27",8.8
"106","Friday","32-28",21.9
"107","Monday","32-28",15.3
"108","Thursday","32-28",21.4
"109","Tuesday","32-28",11.2
"110","Wednesday","32-28",0
"111","Friday","32-29",36.5
"112","Monday","32-29",14.7
"113","Thursday","32-29",34
"114","Tuesday","32-29",13.8
"115","Wednesday","32-29",0
"116","Friday","32-30",18.4
"117","Monday","32-30",16
"118","Thursday","32-30",42.2
"119","Tuesday","32-30",37.9
"120","Wednesday","32-30",5
"121","Friday","32-31",46.8
"122","Monday","32-31",26
"123","Thursday","32-31",44.3
"124","Tuesday","32-31",35.7
"125","Wednesday","32-31",13.9
"126","Friday","32-32",18.1
"127","Monday","32-32",21.5
"128","Thursday","32-32",54.6
"129","Tuesday","32-32",32
"130","Wednesday","32-32",46.5
"131","Friday","32-33",35.6
"132","Monday","32-33",11.4
"133","Thursday","32-33",12.9
"134","Tuesday","32-33",13
"135","Wednesday","32-33",24.6
"136","Friday","32-34",0
"137","Monday","32-34",21.3
"138","Thursday","32-34",9.9
"139","Tuesday","32-34",3.1
"140","Wednesday","32-34",0
"141","Friday","32-35",14.9
"142","Monday","32-35",10.5
"143","Thursday","32-35",10.4
"144","Tuesday","32-35",5.8
"145","Wednesday","32-35",0
"146","Friday","32-36",10
"147","Monday","32-36",6.6
"148","Thursday","32-36",0
"149","Tuesday","32-36",31.7
"150","Wednesday","32-36",17.7
"151","Friday","32-37",0
"152","Monday","32-37",1.2
"153","Thursday","32-37",17.7
"154","Tuesday","32-37",16.3
"155","Wednesday","32-37",0
"156","Friday","32-38",0
"157","Monday","32-38",1.9
"158","Thursday","32-38",23.8
"159","Tuesday","32-38",35.9
"160","Wednesday","32-38",0
"161","Friday","32-39",22.8
"162","Monday","32-39",26.7
"163","Thursday","32-39",60.1
"164","Tuesday","32-39",72
"165","Wednesday","32-39",27.3
"166","Friday","32-40",24.4
"167","Monday","32-40",32.1
"168","Thursday","32-40",62.9
"169","Tuesday","32-40",61.9
"170","Wednesday","32-40",13.6
"171","Friday","32-41",0
"172","Monday","32-41",14.6
"173","Thursday","32-41",73.3
"174","Tuesday","32-41",65.7
"175","Wednesday","32-41",0
"176","Friday","32-42",6.9
"177","Monday","32-42",0
"178","Thursday","32-42",72.1
"179","Tuesday","32-42",69.1
"180","Wednesday","32-42",0
"181","Friday","32-43",0
"182","Monday","32-43",10.8
"183","Thursday","32-43",46.3
"184","Tuesday","32-43",61.8
"185","Wednesday","32-43",0.1
"186","Friday","32-44",21.1
"187","Monday","32-44",48.8
"188","Thursday","32-44",62.2
"189","Tuesday","32-44",63.9
"190","Wednesday","32-44",28.7
"191","Friday","32-45",2.4
"192","Monday","32-45",24.1
"193","Thursday","32-45",64.3
"194","Tuesday","32-45",43.9
"195","Wednesday","32-45",11.3
"196","Friday","32-46",12.5
"197","Monday","32-46",0.3
"198","Thursday","32-46",38.8
"199","Tuesday","32-46",27.9
"200","Wednesday","32-46",4.6
"201","Friday","32-47",19
"202","Monday","32-47",13.9
"203","Thursday","32-47",39.5
"204","Tuesday","32-47",43.6
"205","Wednesday","32-47",19.3
"206","Friday","32-48",28.6
"207","Monday","32-48",10.7
"208","Thursday","32-48",42.2
"209","Tuesday","32-48",27.2
"210","Wednesday","32-48",20.8
"211","Friday","32-49",0
"212","Monday","32-49",0
"213","Thursday","32-49",22.2
"214","Tuesday","32-49",8.7
"215","Wednesday","32-49",22.2
"216","Friday","32-50",9.2
"217","Monday","32-50",1.7
"218","Thursday","32-50",31.6
"219","Tuesday","32-50",14.1
"220","Wednesday","32-50",7.4
"221","Friday","32-51",12.3
"222","Monday","32-51",40.4
"223","Thursday","32-51",29.6
"224","Tuesday","32-51",23.3
"225","Wednesday","32-51",27.2
"226","Friday","32-52",12.3
"227","Monday","32-52",31.6
"228","Thursday","32-52",31.6
"229","Tuesday","32-52",61
"230","Wednesday","32-52",40.2
"231","Friday","32-53",0
"232","Monday","32-53",9.2
"233","Thursday","32-53",23.6
"234","Tuesday","32-53",23.8
"235","Wednesday","32-53",0
"236","Friday","32-54",0
"237","Monday","32-54",10.2
"238","Thursday","32-54",50.7
"239","Tuesday","32-54",36.7
"240","Wednesday","32-54",1.9
"241","Friday","32-55",31.8
"242","Monday","32-55",26.6
"243","Thursday","32-55",51.5
"244","Tuesday","32-55",57
"245","Wednesday","32-55",19.2
"246","Friday","32-57",0
"247","Monday","32-57",0
"248","Thursday","32-57",0
"249","Tuesday","32-57",2.1
"250","Wednesday","32-57",0
"251","Friday","32-58",0
"252","Monday","32-58",0
"253","Thursday","32-58",0
"254","Tuesday","32-58",0
"255","Wednesday","32-58",0
"256","Friday","32-59",0
"257","Monday","32-59",0
"258","Thursday","32-59",0
"259","Tuesday","32-59",0
"260","Wednesday","32-59",0
"261","Friday","32-60",0
"262","Monday","32-60",7
"263","Thursday","32-60",0
"264","Tuesday","32-60",0
"265","Wednesday","32-60",0
"266","Friday","32-61",3.4
"267","Monday","32-61",0
"268","Thursday","32-61",5.6
"269","Tuesday","32-61",0
"270","Wednesday","32-61",0
"271","Friday","32-62",0
"272","Monday","32-62",0
"273","Thursday","32-62",0
"274","Tuesday","32-62",0
"275","Wednesday","32-62",0
"276","Friday","32-64",0
"277","Monday","32-64",0
"278","Thursday","32-64",0
"279","Tuesday","32-64",0.4
"280","Wednesday","32-64",0
"281","Friday","32-65",0
"282","Monday","32-65",0
"283","Thursday","32-65",0
"284","Tuesday","32-65",0
"285","Wednesday","32-65",0
